;;;;;;;;;;;;;;;;;;ACR - observers;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CampfireHD5_0_75;3;4;3;3;3;3;4;4;4;3;3;4;4;3;3;2;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;4;3;3;3;3;4;4;4;3;3;3;3;3;3;2;3;3;3;3;;0.97447;87.97;3.133;0.4305;13.74%;97%;;60;58
CampfireHD5_1  ;3;3;2;3;3;3;3;3;3;3;3;3;3;3;3;3;3;2;2;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;2;3;3;3;3;3;2;3;3;3;3;3;3;3;3;3;3;3;3;3;3;2;2;3;;0.95926;85.66;2.883;0.3237;11.23%;88%;;60;53
Campfire UHD 10 Mbit/H264;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CampfireUHD10_0_1;3;3;4;3;3;3;3;4;3;3;3;4;3;4;3;3;4;3;3;3;3;3;3;4;3;3;3;3;3;4;4;3;3;4;3;3;3;3;3;4;3;3;4;3;3;3;3;4;3;3;3;4;3;4;3;3;4;3;3;3;;0.99041;98.48;3.25;0.4367;13.44%;100%;;60;60
CampfireUHD10_0_2;4;3;3;3;3;3;3;3;4;2;2;3;3;3;4;3;3;4;4;3;3;4;3;3;3;3;3;3;3;3;3;4;3;3;3;3;3;3;3;3;4;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;4;4;3;;0.988123;97.81;3.133;0.4305;13.74%;97%;;60;58
CampfireUHD10_0_3;4;2;3;4;2;3;4;3;2;3;3;4;4;3;3;4;3;3;2;3;3;3;3;3;3;3;3;2;2;3;3;3;3;3;3;3;3;2;2;3;3;2;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;;0.92906;62.24;2.95;0.5017;17.01%;85%;;60;51
CampfireUHD10_0_5;3;3;3;3;2;3;3;3;3;3;3;3;3;2;2;2;1;1;2;3;3;3;3;3;3;3;3;3;3;2;2;3;3;3;3;3;3;3;3;2;3;3;3;3;3;3;3;3;3;3;3;3;3;2;2;2;2;2;2;3;;0.90352;60.76;2.7;0.5304;19.65%;73%;;60;44
CampfireUHD10_0_75;3;2;3;3;2;2;3;3;3;3;2;3;3;3;3;3;3;2;3;3;3;2;3;3;3;2;2;2;2;2;3;2;3;3;3;2;2;2;2;3;3;2;3;3;2;2;3;3;3;3;2;3;3;3;3;3;3;2;2;3;;0.90034;60.18;2.633;0.486;18.45%;63%;;60;38
CampfireUHD10_1;2;2;1;2;2;3;3;2;3;2;2;2;2;2;3;2;2;2;2;2;2;2;1;1;1;2;2;2;2;2;2;1;2;1;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;;0.88437;58.05;1.933;0.4459;23.07%;7%;;60;4
Campfire UHD 5 Mbit/H264;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CampfireUHD5_0_1;3;3;2;3;2;3;4;3;3;3;2;2;3;3;2;3;2;2;2;3;3;3;3;3;2;3;3;2;2;2;3;2;3;3;3;2;3;2;2;2;3;3;3;3;2;3;3;3;3;3;2;2;3;3;3;3;2;2;2;2;;0.99291;97.26;2.617;0.5237;20.02%;60%;;60;36
CampfireUHD5_0_2;3;3;3;3;3;3;3;3;2;2;2;2;3;2;3;1;1;3;3;3;3;2;3;2;3;2;2;3;3;2;2;3;3;2;2;2;2;3;3;2;3;3;2;3;3;2;2;2;2;3;2;2;3;1;2;2;2;2;2;2;;0.99088;96.5;2.417;0.5907;24.44%;47%;;60;28
CampfireUHD5_0_3;1;2;2;2;2;1;1;2;2;2;1;2;2;2;2;2;2;2;2;2;1;2;1;1;2;2;1;1;2;1;1;2;1;1;2;2;1;1;2;1;1;2;2;2;2;1;1;2;2;2;1;2;2;2;2;2;2;2;2;2;;0.9821;93.58;1.667;0.4754;28.52%;0%;;60;0
CampfireUHD5_0_5;2;1;1;2;2;2;2;2;2;1;1;1;2;1;1;2;1;1;1;1;1;1;1;1;2;2;1;2;2;1;1;1;1;1;2;2;1;2;2;2;2;1;2;2;2;2;2;1;2;1;1;1;2;1;1;2;1;1;1;1;;0.96412;89.38;1.45;0.5017;34.60%;0%;;60;0
CampfireUHD5_0_75;2;2;2;1;1;1;2;1;2;1;1;1;2;1;2;2;1;1;1;1;1;1;1;1;2;1;1;1;2;1;1;1;1;1;2;1;1;1;2;1;2;2;2;1;1;1;2;1;2;1;1;1;2;1;1;2;1;1;1;1;;0.96256;88.74;1.317;0.4691;35.63%;0%;;60;0
CampfireUHD5_1;1;2;1;1;1;1;2;1;1;1;1;2;1;1;1;1;1;1;2;1;1;1;2;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;2;1;1;1;1;2;1;1;1;1;2;1;1;1;1;1;1;2;1;;0.94627;85.16;1.167;0.3758;32.21%;0%;;60;0
