;;;;;;;;;;;;;;;;;;ACR - observers;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ConstructionUHD15_0_2;4;3;4;3;3;4;3;3;4;3;3;3;3;3;3;4;3;4;4;3;4;4;4;4;3;3;3;4;3;3;4;4;3;4;3;3;3;3;3;3;4;3;4;3;4;4;3;3;4;3;4;3;3;3;3;4;3;4;4;3;;0.97118;92.23;3.4;0.494;14.53%;100%;;60;60
ConstructionUHD15_0_3;4;3;3;3;3;3;4;4;3;3;3;4;3;3;3;3;3;4;4;3;4;4;4;4;3;3;3;3;3;3;3;4;4;4;3;3;3;3;3;3;3;3;3;3;3;3;4;4;3;3;3;3;3;3;3;4;3;4;4;3;;0.96392;89.45;3.3;0.4621;14.00%;100%;;60;60
ConstructionUHD15_0_5;3;3;3;4;3;3;3;3;3;3;3;4;3;3;3;3;4;3;3;4;4;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;4;3;3;4;3;3;3;3;3;3;3;3;;0.9274;78.79;3.117;0.3237;10.39%;100%;;60;60
ConstructionUHD15_0_75 ;2;2;3;3;3;3;2;3;3;3;3;3;3;3;2;3;3;2;2;3;2;2;2;3;2;3;2;2;3;2;2;2;2;3;3;3;2;2;3;2;2;2;3;3;2;3;2;3;3;3;3;3;3;3;2;3;3;2;2;3;;0.87294;68.25;2.567;0.4997;19.47%;57%;;60;34
ConstructionUHD15_1;2;3;2;3;2;2;3;3;3;3;2;3;2;2;3;2;2;2;2;2;2;2;2;2;2;3;2;2;2;2;2;1;2;2;2;3;2;2;2;2;2;3;2;3;2;2;3;3;3;3;2;3;2;2;3;2;2;3;2;2;;0.85721;64.25;2.3;0.4975;21.63%;32%;;60;19
Construction UHD 5 Mbit/H264;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ConstructionUHD5_0_1;5;4;4;3;4;4;4;4;4;4;4;5;5;4;4;4;4;4;5;4;4;4;4;4;4;5;4;4;4;4;4;4;4;5;4;4;4;4;4;4;5;4;4;3;4;4;4;4;4;4;4;5;5;4;4;4;4;4;5;4;;0.99509;97.87;4.133;0.4305;10.41%;100%;;60;60
ConstructionUHD5_0_2;5;3;4;5;5;5;5;4;5;4;4;5;4;4;4;3;4;3;3;4;4;4;4;4;4;4;4;4;4;5;4;3;4;4;4;4;4;4;4;5;4;4;4;5;5;5;5;4;5;4;4;4;4;4;4;3;4;4;3;4;;0.98883;94.41;4.117;0.5849;14.21%;100%;;60;60
ConstructionUHD5_0_3        ;4;4;4;4;3;5;4;4;4;3;3;3;3;4;5;4;5;4;4;4;4;4;5;4;4;5;3;3;3;3;4;4;5;4;4;5;3;4;4;3;5;4;4;4;3;5;4;4;4;3;3;3;3;4;5;4;5;4;4;4;;0.98372;92.66;3.917;0.6712;17.14%;100%;;60;60
ConstructionUHD5_0_5;5;4;3;4;4;3;4;4;3;4;4;4;4;4;4;4;3;3;3;4;3;3;5;4;4;3;4;3;3;4;3;3;5;4;4;3;4;3;3;4;4;4;3;4;4;3;4;4;3;4;4;4;4;4;4;4;3;3;3;4;;0.96539;84.83;3.683;0.5672;15.40%;100%;;60;60
ConstructionUHD5_0_75;3;3;3;2;3;2;3;3;3;2;2;3;3;3;3;2;2;3;3;3;3;3;3;3;3;3;2;3;2;2;3;2;3;3;3;3;2;3;2;2;3;3;3;2;3;2;3;3;3;3;2;3;3;2;2;3;3;3;3;3;;0.94933;80.17;2.7;0.4621;17.12%;70%;;60;42
ConstructionUHD5_1;2;3;2;2;2;3;2;2;2;2;3;2;2;2;3;2;2;2;2;3;2;3;2;2;2;2;2;2;3;3;2;2;2;2;2;2;3;2;2;2;2;2;2;3;2;3;2;2;2;2;3;2;2;2;3;2;2;2;2;2;;0.9406;79.86;2.217;0.4155;18.74%;22%;;60;13
Construction FHD 10 Mbit/H265 (HEVC);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ConstructionXFHD10_0_1;2;2;2;2;2;1;2;2;2;2;1;2;2;2;1;2;3;1;2;2;2;2;2;2;2;3;2;2;2;2;2;2;2;2;2;1;2;2;2;2;1;2;2;2;1;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;;0.93862;88.55;1.9;0.3992;21.01%;3%;;60;2
ConstructionXFHD10_0_2;2;2;2;2;2;2;2;2;2;1;2;2;1;2;2;2;2;2;2;2;2;2;1;2;2;2;1;2;1;2;2;2;2;2;2;2;2;2;2;1;2;2;1;2;2;2;2;2;2;2;2;2;1;2;2;2;1;2;1;2;;0.92548;87.41;1.833;0.3758;20.50%;0%;;60;0
ConstructionXFHD10_0_3;1;1;2;2;2;2;2;2;1;1;1;2;1;1;1;2;1;1;2;1;1;1;1;2;1;2;2;2;2;2;1;1;2;2;2;2;2;2;1;1;1;2;1;1;1;2;1;1;2;1;1;1;1;2;1;2;2;2;2;2;;0.85211;81.45;1.5;0.5042;33.61%;0%;;60;0
ConstructionXFHD10_0_5;1;1;2;1;1;2;2;1;1;1;1;2;2;1;1;2;2;2;2;1;1;1;1;1;1;1;1;1;1;2;1;1;2;1;1;2;2;1;1;1;1;2;2;1;1;2;2;2;2;1;1;1;1;1;1;1;1;1;1;2;;0.80773;78.56;1.333;0.4754;35.65%;0%;;60;0
ConstructionXFHD10_0_75;2;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;2;2;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;2;;0.75088;59.47;1.133;0.3428;30.25%;0%;;60;0
ConstructionXFHD10_1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;;0.71025;50.51;1.067;0.2515;23.58%;0%;;60;0
Construction FHD 15 Mbit/H265 (HEVC);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ConstructionXFHD15_0_1;2;1;1;2;2;2;2;1;1;2;2;2;2;1;1;2;2;2;1;2;1;2;1;2;2;2;2;2;2;2;2;1;1;1;2;2;2;2;2;2;2;2;2;1;2;2;2;2;1;2;1;2;2;2;2;2;2;2;2;2;;0.8656;74.11;1.75;0.4367;24.95%;0%;;60;0
ConstructionXFHD15_0_2;2;1;2;2;2;2;1;2;2;2;2;2;1;2;2;2;2;2;2;1;1;1;2;1;1;2;1;2;1;1;2;1;2;2;2;2;1;2;1;1;1;2;1;2;2;2;2;2;2;1;1;1;2;1;1;2;1;2;1;1;;0.85076;75.49;1.583;0.4972;31.40%;0%;;60;0
ConstructionXFHD15_0_3;1;2;2;2;2;2;2;2;2;2;2;2;1;1;1;1;2;2;2;2;1;2;1;2;2;2;2;2;2;1;1;1;1;2;2;2;2;2;2;2;2;2;1;1;2;1;2;2;2;2;1;2;2;2;2;2;2;2;2;2;;0.77768;66.05;1.75;0.4367;24.95%;0%;;60;0
ConstructionXFHD15_0_5;1;1;1;1;2;2;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;2;1;1;1;2;2;1;1;1;1;1;1;1;2;2;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;2;1;1;1;2;2;1;1;1;;0.7435;52.84;1.2;0.4034;33.61%;0%;;60;0
ConstructionXFHD15_0_75;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;0.68228;40.11;1.033;0.181;17.52%;0%;;60;0
ConstructionXFHD15_1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;;0.66799;34.61;1.5;0.2198;20.93%;0%;;60;0
Construction FHD 5 Mbit/H265 (HEVC);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ConstructionXFHD5_0_1;3;2;2;3;2;2;3;2;2;2;2;3;3;2;2;2;2;3;2;2;3;3;2;2;2;2;3;3;3;3;3;2;2;3;2;2;3;2;2;2;2;3;3;2;2;2;2;3;2;2;3;3;2;2;2;2;3;3;3;3;;0.96945;90.95;2.4;0.494;20.58%;40%;;60;24
ConstructionXFHD5_0_2;2;2;2;3;2;2;2;2;2;2;2;2;2;2;2;2;2;3;2;2;3;2;2;2;2;2;3;3;2;3;2;2;2;3;2;2;2;2;3;2;2;2;2;2;2;2;2;3;2;2;2;2;2;2;2;2;3;3;2;3;;0.96163;82.23;2.2;0.4034;18.34%;20%;;60;12
ConstructionXFHD5_0_3;1;1;2;2;2;2;2;2;1;2;1;2;1;1;1;1;1;2;1;1;1;2;2;2;2;2;1;2;2;2;1;1;2;2;2;2;2;2;1;2;1;2;1;1;1;1;1;2;1;1;1;3;1;2;2;2;1;2;2;2;;0.92416;75.59;1.567;0.5326;33.99%;2%;;60;1
ConstructionXFHD5_0_5;2;1;1;1;1;1;2;1;1;1;1;2;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;2;1;2;2;1;1;1;1;1;2;1;1;1;1;2;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;2;1;2;;0.89705;67.74;1.2;0.4034;33.61%;0%;;60;0
ConstructionXFHD5_0_75;2;1;2;1;1;2;1;1;1;1;1;2;1;1;1;1;1;2;1;1;1;2;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;1;1;1;2;1;1;1;1;1;2;1;1;1;2;1;1;1;1;2;1;1;1;;0.87718;62.94;1.25;0.4367;34.93%;0%;;60;0
ConstructionXFHD5_1;1;1;1;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;2;2;1;1;2;1;1;1;1;1;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;2;2;1;1;2;1;1;;0.8266;56.06;1.2;0.4034;33.61%;0%;;60;0
Construction HD 10 Mbit/H265 (HEVC);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ConstructionXHD10_0_1;2;2;3;2;2;1;2;3;2;2;2;3;2;3;3;3;2;2;2;2;2;2;2;2;3;3;2;3;3;3;2;2;2;2;3;3;2;3;3;3;2;2;3;2;2;2;2;3;2;2;2;3;2;3;3;3;2;2;3;2;;0.96109;88.26;2.367;0.5197;21.96%;38%;;60;23
ConstructionXHD10_0_2;3;1;1;3;3;3;2;2;3;2;2;2;2;2;3;3;2;2;2;2;2;1;2;2;2;2;2;1;2;1;2;2;2;2;2;2;2;1;2;1;2;1;1;2;2;3;2;2;2;2;2;2;2;3;2;2;2;2;2;2;;0.91792;82.47;2;0.5523;27.62%;15%;;60;9
ConstructionXHD10_0_3;2;1;1;2;2;2;2;2;1;2;1;1;2;1;2;1;1;1;2;2;1;2;1;1;1;1;1;1;1;2;1;2;1;1;1;1;1;1;1;2;2;1;1;2;2;2;2;2;1;2;1;1;2;1;2;1;1;1;2;2;;0.87351;74.41;1.433;0.4997;34.86%;0%;;60;0
ConstructionXHD10_0_5;2;1;1;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;2;1;2;2;1;1;1;1;1;1;1;1;2;2;1;1;1;1;1;1;1;1;2;1;1;1;2;2;2;2;2;1;1;1;1;1;1;1;1;1;2;1;;0.82127;64.18;1.317;0.4691;35.63%;0%;;60;0
ConstructionXHD10_0_75;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;2;2;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;;0.77005;53.65;1.083;0.2787;25.73%;0%;;60;0
ConstructionXHD10_1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;0.75114;45.25;1.017;0.1291;12.70%;0%;;60;0
Construction HD 15 Mbit/H265 (HEVC);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ConstructionXHD15_0_1;2;2;1;2;1;1;1;2;2;1;1;1;1;1;1;1;1;1;2;1;1;1;2;1;1;1;1;1;1;2;1;1;2;1;1;1;1;1;1;2;2;2;1;2;1;1;1;2;2;1;1;1;1;2;1;1;1;1;2;1;;0.87536;71.34;1.283;0.4544;35.41%;0%;;60;0
ConstructionXHD15_0_2    ;1;1;1;1;2;2;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;2;2;1;2;1;1;1;1;1;1;2;2;1;2;1;1;1;1;1;1;1;2;2;1;1;1;1;1;1;1;1;1;1;1;1;2;1;;0.85693;67.93;1.2;0.4034;33.61%;0%;;60;0
ConstructionXHD15_0_3;1;2;1;1;3;1;1;1;1;1;1;1;1;1;1;2;1;1;2;1;1;1;1;1;2;2;1;1;1;1;1;1;1;1;2;2;1;1;1;1;1;2;1;1;2;1;1;1;1;1;1;1;1;1;1;2;1;1;2;1;;0.80488;59.95;1.217;0.4544;37.35%;2%;;60;1
ConstructionXHD15_0_5;3;1;1;2;1;1;1;1;2;2;1;1;2;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;2;1;2;1;1;2;1;1;1;1;2;2;1;1;2;1;1;2;1;1;1;1;;0.78704;55.75;1.25;0.4739;37.91%;2%;;60;1
ConstructionXHD15_0_75;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;0.74042;46.76;1;0;0.00%;0%;;60;0
ConstructionXHD15_1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;0.66205;27.97;1;0;0.00%;0%;;60;0
Construction HD 5 Mbit/H265 (HEVC);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ConstructionXHD5_0_1;3;2;2;3;2;2;2;3;3;4;2;2;4;3;4;3;2;3;2;3;3;2;2;2;3;3;3;3;3;2;2;2;2;2;3;3;3;3;2;2;3;4;3;3;3;3;3;3;3;3;3;3;3;3;2;3;3;3;3;3;;0.98539;93.05;2.733;0.5783;21.16%;67%;;60;40
ConstructionXHD5_0_2;2;3;2;3;3;3;3;3;2;3;3;3;3;2;2;3;2;3;3;2;3;2;3;2;2;3;3;3;3;2;2;3;2;2;3;3;3;3;2;2;2;3;2;3;3;3;3;3;2;3;3;3;2;2;2;3;2;3;3;3;;0.9648;86.03;2.617;0.4903;18.74%;62%;;60;37
ConstructionXHD5_0_3    ;2;3;2;1;1;1;2;3;2;3;2;2;3;3;2;3;3;2;3;3;3;2;3;2;2;3;3;2;2;3;2;3;2;2;3;3;2;2;3;2;2;3;2;2;2;2;2;3;2;3;2;2;3;3;2;3;3;2;3;3;;0.9494;85.28;2.4;0.588;24.50%;45%;;60;27
ConstructionXHD5_0_5;3;1;1;3;2;2;3;3;3;2;1;2;3;2;2;2;1;2;2;2;1;2;1;1;1;1;2;2;1;2;1;1;2;1;1;2;2;1;1;1;2;1;1;3;2;2;2;2;2;2;2;2;3;2;2;2;2;2;2;2;;0.90058;75.7;1.817;0.6507;35.82%;13%;;60;8
ConstructionXHD5_0_75;1;1;1;1;1;1;1;1;1;2;1;1;2;2;1;1;1;1;2;2;1;2;1;2;2;2;1;1;1;1;1;1;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;2;2;1;1;1;1;2;2;;0.87314;68.73;1.283;0.4544;35.41%;0%;;60;0
ConstructionXHD5_1;2;1;1;3;1;1;1;1;1;1;1;1;2;2;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;2;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;;0.80869;55.77;1.15;0.4044;35.17%;2%;;60;1
Construction UHD 10 Mbit/H265 (HEVC);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ConstructionXUHD10_0_1;4;4;4;3;4;3;3;4;4;3;3;3;4;3;3;4;3;5;3;4;4;3;3;4;3;3;4;4;4;4;4;3;4;3;3;4;4;4;3;4;4;4;4;3;4;3;3;4;4;3;3;3;4;3;3;4;3;4;3;3;;0.9853;94.58;3.533;0.5357;15.16%;100%;;60;60
ConstructionXUHD10_0_2;4;3;3;3;4;3;3;3;3;3;3;2;3;4;4;4;3;3;3;4;3;4;3;3;3;3;3;4;3;4;4;3;3;3;3;3;4;3;4;4;4;3;3;3;4;3;3;3;3;3;3;3;3;4;4;4;3;3;3;4;;0.98064;94.93;3.3;0.4975;15.07%;98%;;60;59
ConstructionXUHD10_0_3;3;3;3;2;1;2;3;3;3;3;2;3;3;3;3;3;3;2;2;2;2;2;2;2;2;2;2;2;2;2;3;2;2;2;2;2;2;2;2;3;3;3;3;2;3;2;3;3;3;3;2;3;3;3;3;3;3;2;2;2;;0.94534;85.54;2.467;0.5357;21.72%;48%;;60;29
ConstructionXUHD10_0_5;2;2;1;2;1;2;2;3;1;2;2;2;2;1;1;2;1;1;1;2;2;2;2;2;2;1;1;2;1;1;2;2;1;2;1;1;2;1;1;2;2;2;1;2;3;2;2;3;1;2;2;2;2;2;2;2;1;1;1;2;;0.88519;72.43;1.683;0.5672;33.70%;5%;;60;3
ConstructionXUHD10_0_75;2;2;1;1;2;1;2;1;1;2;1;2;2;2;3;3;1;1;2;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;1;1;1;2;2;1;1;2;1;2;1;1;2;1;2;2;2;2;2;1;1;2;1;;0.84382;63.66;1.467;0.5665;38.62%;3%;;60;2
ConstructionXUHD10_1;2;2;1;1;2;1;2;2;1;2;1;1;2;2;2;2;2;1;1;2;1;2;2;1;1;1;1;1;1;2;1;2;1;1;1;1;1;1;2;1;2;2;1;1;2;1;2;2;1;2;1;1;2;2;2;2;2;1;1;2;;0.84109;62.14;1.483;0.5039;33.97%;0%;;60;0
Construction UHD 15 Mbit/H265 (HEVC);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ConstructionXUHD15_0_1;2;3;2;2;2;2;3;3;2;3;2;3;3;2;2;3;2;2;3;2;3;2;2;3;3;3;3;3;2;2;3;2;2;3;3;3;3;3;2;2;2;3;2;2;2;2;3;3;2;3;2;3;3;2;2;3;2;2;3;2;;0.93795;84.78;2.467;0.5031;20.40%;47%;;60;28
ConstructionXUHD15_0_2       ;3;3;1;2;3;3;3;3;2;2;3;1;3;2;2;2;1;2;2;2;2;3;3;2;1;2;2;3;2;1;2;3;3;2;1;2;2;3;2;2;2;2;2;2;3;3;3;3;2;2;3;2;3;2;2;2;2;2;2;2;;0.93641;85.55;2.233;0.6207;27.79%;33%;;60;20
ConstructionXUHD15_0_3;2;3;1;1;2;2;2;2;2;3;1;3;2;2;2;3;1;3;3;2;3;3;1;2;2;2;2;2;1;2;3;3;1;2;2;2;2;2;1;2;2;2;2;1;2;2;2;2;2;3;1;3;2;2;2;2;2;3;3;2;;0.91862;79.47;2.067;0.6342;30.69%;23%;;60;14
ConstructionXUHD15_0_5;3;2;2;2;1;1;2;2;3;2;1;1;2;1;1;1;1;1;1;1;1;1;2;2;2;2;2;1;2;1;1;2;2;2;2;2;1;2;2;1;2;2;2;2;1;1;2;2;2;2;2;1;2;1;1;1;1;1;1;1;;0.86683;68.49;1.567;0.5635;35.97%;3%;;60;2
ConstructionXUHD15_0_75;2;2;1;1;1;1;1;1;1;2;1;2;1;1;2;1;1;1;1;1;2;2;1;1;2;2;1;1;1;1;2;2;1;1;2;2;1;1;1;1;2;2;1;1;1;1;1;1;1;2;1;2;1;1;2;1;1;1;1;1;;0.77712;58.92;1.3;0.4621;35.55%;0%;;60;0
ConstructionXUHD15_1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;0.72645;52.38;1;0;0.00%;0%;;60;0
Construction UHD 5 Mbit/H265 (HEVC);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ConstructionXUHD5_0_1;4;4;4;3;3;3;3;4;3;3;3;3;3;4;3;3;3;3;3;3;4;4;3;3;4;3;3;3;3;4;4;4;4;3;4;3;3;3;3;4;4;4;4;3;2;3;3;4;3;3;3;3;3;4;3;3;3;3;3;3;;0.9734;92.31;3.3;0.4975;15.07%;98%;;60;59
ConstructionXUHD5_0_2;3;3;3;2;2;3;3;3;3;2;3;3;3;3;3;3;3;3;3;3;3;3;2;2;3;2;2;2;3;3;3;3;2;2;3;2;2;2;3;3;3;3;3;3;3;3;3;3;3;2;3;3;3;3;3;3;3;3;3;3;;0.96863;93.45;2.767;0.4265;15.42%;77%;;60;46
ConstructionXUHD5_0_5;2;2;3;3;3;3;3;2;3;2;2;2;2;1;3;2;1;2;3;2;2;2;3;3;2;3;3;2;2;2;2;2;3;3;2;1;1;2;2;2;2;2;3;3;3;3;3;2;3;2;2;2;3;3;3;2;3;2;3;2;;0.92849;80.32;2.35;0.6058;25.78%;42%;;60;25
ConstructionXUHD5_0_75;1;2;1;2;2;1;1;2;1;1;1;2;1;1;2;1;2;2;2;2;2;1;2;2;1;2;1;1;1;1;2;1;2;2;1;2;1;1;1;1;2;2;1;2;2;1;1;2;1;1;1;2;1;1;2;1;2;3;2;2;;0.88352;75.37;1.5;0.5368;35.79%;2%;;60;1
ConstructionXUHD5_1;2;1;1;1;1;1;1;1;2;2;2;2;1;2;1;1;1;2;2;1;2;2;1;1;1;1;1;2;2;1;2;2;1;1;1;1;1;2;2;1;2;1;1;1;1;1;1;1;2;2;2;2;1;2;1;1;1;2;2;1;;0.84959;63.86;1.4;0.494;35.29%;0%;;60;0
Runners FHD 10 Mbit/H264;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RunnersFHD10_0_1;3;3;3;3;3;3;3;3;4;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;4;3;3;3;3;3;3;3;3;3;3;4;3;3;4;3;3;3;3;3;3;3;3;4;3;3;3;3;3;3;3;3;3;;0.95379;94.8;3.083;0.2787;9.04%;100%;;60;60
RunnersFHD10_0_2;3;3;3;3;2;3;3;3;2;3;3;3;3;3;3;3;3;3;3;2;3;3;3;3;3;3;3;3;3;3;3;3;3;3;2;3;3;3;2;3;3;3;3;3;3;3;3;3;3;2;3;3;3;3;3;3;3;3;3;3;;0.94281;94.34;2.9;0.3025;10.43%;90%;;60;54
RunnersFHD10_0_3;3;2;3;3;2;3;2;2;3;3;2;2;2;3;3;2;2;3;3;3;2;2;3;2;2;2;3;2;2;2;3;2;3;3;2;3;2;2;3;3;2;2;2;3;3;2;2;3;3;3;2;2;3;2;2;2;3;2;2;2;;0.8728;67.8;2.433;0.4997;20.54%;43%;;60;26
RunnersFHD10_0_5;3;2;2;2;2;1;2;1;1;2;1;2;1;2;2;2;2;3;2;2;2;1;1;2;1;2;3;2;2;2;2;2;2;2;1;1;2;3;2;2;2;2;2;2;1;1;2;2;2;2;2;2;1;1;2;2;1;1;2;2;;0.76276;60.55;1.8;0.5462;30.34%;7%;;60;4
RunnersFHD10_1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;0.71614;37.7;1.017;0.1291;12.70%;0%;;60;0
Runners FHD 15 Mbit/H264;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RunnersFHD15_0_1;2;2;3;3;2;2;3;3;3;3;2;3;3;2;2;2;2;3;3;2;3;2;3;3;2;2;2;3;3;2;2;2;3;3;2;2;3;3;3;3;2;3;3;2;2;2;2;3;3;2;3;2;3;3;2;2;2;3;3;2;;0.95086;85.07;2.5;0.5042;20.17%;50%;;60;30
RunnersFHD15_0_2;3;2;2;2;2;2;3;2;2;2;3;2;2;2;3;2;2;3;2;2;2;2;3;2;3;2;2;2;2;3;3;2;2;2;2;2;3;2;2;2;3;2;2;2;3;2;2;3;2;2;2;2;3;2;3;2;2;2;2;3;;0.90291;64.57;2.267;0.4459;19.67%;27%;;60;16
RunnersFHD15_0_3;2;2;1;2;2;2;2;2;2;2;2;1;1;1;2;1;2;2;1;1;2;2;2;1;2;2;1;1;1;2;1;1;2;1;2;1;2;2;2;1;1;2;1;2;2;1;2;2;1;2;1;2;1;1;2;2;1;1;1;2;;0.90818;56.18;1.567;0.4997;31.90%;0%;;60;0
RunnersFHD15_0_5;1;1;1;1;1;1;1;2;1;1;1;1;2;1;2;2;1;1;1;1;2;1;1;2;1;1;2;1;1;2;1;2;2;1;1;2;1;1;1;1;1;2;2;2;2;2;2;1;1;2;1;1;2;2;2;1;1;1;1;1;;0.8326;44.95;1.35;0.481;35.63%;0%;;60;0
RunnersFHD15_0_75;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;;0.78911;35.52;1.067;0.2515;23.58%;0%;;60;0
RunnersFHD15_1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;0.63422;27.78;1;0;0.00%;0%;;60;0
Runners FHD 5 Mbit/H264;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RunnersFHD5_0_1;3;3;3;3;3;2;3;3;2;2;3;3;3;3;3;3;3;3;3;3;2;3;3;3;3;3;3;2;3;3;3;3;2;3;3;2;3;3;3;3;3;3;3;2;2;2;3;3;3;3;3;3;3;3;3;3;3;3;3;3;;0.98321;94.7;2.833;0.3758;13.26%;83%;;60;50
